	score1	score2	tol	fuzzy	remove_stop	svm	compress	n_dif	best	f1	words_pos	words_neg	concatenate	words_embeddings
121	0.0003	0.0003	0.99	False	False	True	False	True	{'C': 0.05}	0.5414847161572052	1529	8000	True	3
122	0.0003	0.0007	0.99	False	False	True	False	True	{'C': 0.05}	0.5414847161572052	1529	8000	True	3
123	0.0003	0.0001	0.99	False	False	True	False	True	{'C': 0.05}	0.5407725321888412	1529	5009	True	3
124	0.0001	0.0001	0.99	False	False	True	False	True	{'C': 0.05}	0.5384615384615385	747	5009	True	3
125	0.0001	0.0005	0.99	False	False	True	False	True	{'C': 0.5}	0.5575221238938053	747	8000	True	3
126	0.0001	5e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.5042735042735041	747	3432	True	3
127	5e-05	5e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.5244444444444445	447	3432	True	3
128	5e-05	1e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.4144144144144145	447	1418	True	3
129	5e-05	8e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.5299145299145299	447	4403	True	3
130	1e-05	1e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.4298245614035088	133	1418	True	3
131	1e-05	6e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.5	133	3769	True	3
132	1e-05	5e-06	0.99	False	True	True	False	True	{'C': 0.05}	0.381294964028777	133	875	True	3
133	3e-05	3e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.49339207048458145	318	2608	True	3
134	3e-05	8e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.5276595744680851	318	4403	True	3
135	3e-05	1e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.4329004329004329	318	1418	True	3
136	0.007	0.007	0.99	False	True	True	False	True	{'C': 2}	0.5446428571428572	8000	8000	True	3
137	0.007	0.003	0.99	False	True	True	False	True	{'C': 2}	0.5446428571428572	8000	8000	True	3
138	0.007	0.009	0.99	False	True	True	False	True	{'C': 2}	0.5446428571428572	8000	8000	True	3
139	9e-07	4e-07	0.99	False	True	True	False	True	{'C': 0.25}	0.2404809619238477	18	105	True	3
140	5e-06	5e-06	0.99	False	True	True	False	True	{'C': 4}	0.36981132075471695	73	875	True	3
